valtyp,lÌ_nsnr,lÌ_n,kommunnr,kommun,valkretsnr,valkrets,parti,tilltrÌ_desdatum,invalsordning,personvald,fÌ¦rnamn,efternamn,Ì´lder,kÌ¦n,lista,listplats,kandidatnr
R,,,,,16,GÌ¦teborgs kommun,S,,4,,Johan,BÌ_ser,31,M,Feb-03,4,497297
R,,,,,16,GÌ¦teborgs kommun,V,,1,personvald,Hans,Linde,35,M,May-77,1,456308
R,,,,,16,GÌ¦teborgs kommun,V,,2,,Maj,Karlsson,34,K,May-77,2,456309
R,,,,,16,GÌ¦teborgs kommun,MP,,1,personvald,Lise,Nordin,31,K,0055-07671,1,452286
R,,,,,16,GÌ¦teborgs kommun,MP,,2,,Valter,Mutt,59,M,0055-07671,2,452287
R,,,,,16,GÌ¦teborgs kommun,SD,,1,,Martin,Kinnunen,31,M,0110-08275,28,479479
R,,,,,16,GÌ¦teborgs kommun,SD,,2,,Jimmy,StÌ´hl,38,M,0110-08275,40,443474
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,M,,1,,Lars-Arne,StaxÌ_ng,58,M,Jan-29,1,468640
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,M,,2,,Maria,Plass,60,K,Jan-29,2,504956
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,M,,3,,Ellen,Juntti,55,K,Jan-29,3,504957
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,C,,1,personvald,Fredrik,Christensson,23,M,Apr-65,1,442180
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,FP,,1,,Lars,Tysklind,61,M,Mar-58,1,421938
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,KD,,1,personvald,Roland,Utbult,63,M,0068-08519,2,503133
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,S,,1,,Jan-Olof,Larsson,62,M,Feb-72,1,455781
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,S,,2,,Catharina,BrÌ´kenhielm,57,K,Feb-72,2,455626
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,S,,3,,Kenneth G,Forslund,47,M,Feb-72,3,455783
R,,,,,17,VÌ_stra GÌ¦talands lÌ_ns vÌ_stra,V,,1,,Wiwi-Anne,Johansson,63,K,May-21,1,450816
